age,PopTotal
0,831175
1,812190
2,795627
3,781473
4,766976
5,757727
6,750618
7,745709
8,743057
9,742361
10,743316
11,747795
12,756583
13,768648
14,781726
15,795722
16,811454
17,828926
18,847376
19,866877
20,888415
21,905238
22,914313
23,919049
24,924331
25,927302
26,939512
27,966600
28,1002194
29,1034706
30,1066956
31,1089851
32,1097854
33,1095351
34,1093637
35,1092091
36,1084414
37,1069127
38,1049493
39,1031662
40,1016112
41,1002981
42,993523
43,989273
44,986098
45,979539
46,1000096
47,1060845
48,1145725
49,1226009
50,1307936
51,1368838
52,1394672
53,1395486
54,1397134
55,1396565
56,1382592
57,1352922
58,1312026
59,1266711
60,1215650
61,1167944
62,1128836
63,1094876
64,1058671
65,1023253
66,984056
67,938574
68,890636
69,845029
70,798941
71,766603
72,754992
73,756878
74,756161
75,753781
76,752810
77,752411
78,749973
79,747044
80,747298
81,723079
82,662038
83,577945
84,496189
85,410829
86,340178
87,295647
88,268426
89,236808
90,213378
91,186947
92,153156
93,112602
94,83794
95,71834
96,59373
97,43137
98,23127
99,13921
100,17692
