ags,region,typ,unter 3 Jahre,3 bis unter 6 Jahre,6 bis unter 10 Jahre,10 bis unter 15 Jahre,15 bis unter 18 Jahre,18 bis unter 20 Jahre,20 bis unter 25 Jahre,25 bis unter 30 Jahre,30 bis unter 35 Jahre,35 bis unter 40 Jahre,40 bis unter 45 Jahre,45 bis unter 50 Jahre,50 bis unter 55 Jahre,55 bis unter 60 Jahre,60 bis unter 65 Jahre,65 bis unter 75 Jahre,75 Jahre und mehr,Insgesamt
01001,Flensburg, kreisfreie Stadt,2700,2450,3131,3691,2213,2137,8630,8081,5975,5030,4823,5132,6604,6194,5212,8596,9565,90164
01002,Kiel, kreisfreie Stadt,6922,6467,7786,9582,5788,5066,21773,24069,20158,16180,13748,14265,18048,16821,13844,21624,24653,246794
01003,Lübeck, kreisfreie Stadt,5680,5558,7009,8990,5436,4262,13609,14990,14356,13037,12055,13390,17347,16674,13602,22620,27915,216530
01004,Neumünster, kreisfreie Stadt,2145,2167,2814,3726,2268,1893,4826,5098,5157,4657,4520,4943,6492,6227,5139,8240,9884,80196
01051,Dithmarschen, Landkreis,3200,3318,4450,5996,4063,2884,7337,6805,6875,6787,6920,8431,11607,11425,9795,16129,17171,133193
01053,Herzogtum Lauenburg, Landkreis,5579,5889,7380,9519,6049,4151,9185,9332,10980,12044,11884,13206,17782,17033,13488,20063,24455,198019
01054,Nordfriesland, Landkreis,4053,4249,5325,7241,5096,3603,8803,9140,9224,8813,8771,10512,14555,14264,11871,19390,21041,165951
01055,Ostholstein, Landkreis,4381,4450,6320,8280,5539,3868,8605,8910,9527,10233,10561,12898,18015,17920,15305,26146,29581,200539
01056,Pinneberg, Landkreis,8926,9056,11684,15056,9274,6481,15934,16101,17898,19385,19511,21386,28436,26323,20487,31804,38361,316103
01057,Plön, Landkreis,3130,3292,4356,5878,3806,2635,5570,5335,6152,6679,6850,8326,11824,11524,9349,15686,18294,128686
01058,Rendsburg-Eckernförde, Landkreis,7117,7474,9829,13091,8562,6046,13058,12710,14259,15161,15265,18101,25414,23881,19091,31038,34001,274098
01059,Schleswig-Flensburg, Landkreis,5417,5580,7300,9595,6211,4276,9456,10034,10918,10778,11059,12730,18060,17340,13972,23353,25077,201156
01060,Segeberg, Landkreis,7574,7886,10318,12989,8252,5729,13557,14135,16385,17464,17146,18556,25224,22943,18168,28589,32260,277175
01061,Steinburg, Landkreis,3364,3483,4501,5897,3950,2743,6584,6754,7338,7024,6992,8641,12367,11973,9354,14007,16041,131013
01062,Stormarn, Landkreis,6518,7027,9467,11929,7221,5045,11115,10426,12666,14949,15380,16471,22496,20588,15889,25293,31676,244156
02000,Hamburg, kreisfreie Stadt,60938,57337,66823,79536,46252,34140,112172,146039,155763,141809,124554,120743,140413,126531,97844,152595,183764,1847253
03101,Braunschweig, kreisfreie Stadt,6881,6339,7843,9610,5925,4666,17305,21421,19469,16777,14500,15112,18745,17498,14940,23190,29185,249406
03102,Salzgitter, kreisfreie Stadt,3467,3310,4065,5074,3016,2256,6076,6216,6105,5955,5741,6174,7830,8115,6915,11191,12785,104291
03103,Wolfsburg, kreisfreie Stadt,3937,3898,4482,5296,3180,2196,6282,8301,9061,8631,7579,7409,9219,9355,7906,11881,15758,124371
03151,Gifhorn, Landkreis,5506,5590,6717,8626,5521,3789,8638,8957,10704,10937,10195,11493,15531,15839,12691,17628,18161,176523
03153,Goslar, Landkreis,2904,3012,3811,5232,3402,2810,7760,7608,7111,6797,6844,8472,11545,11517,10079,16941,20447,136292
03154,Helmstedt, Landkreis,2563,2457,3057,3992,2427,1737,4278,4605,5409,5481,5152,5787,7887,8079,6872,10249,11265,91297
03155,Northeim, Landkreis,3182,3357,4255,5567,3634,2633,6572,6572,6868,6932,6869,8222,11409,11970,10356,15834,18053,132285
03157,Peine, Landkreis,3970,4073,5108,6476,4160,3022,6705,6648,7775,7988,7849,9220,12109,11494,9207,13604,15393,134801
03158,Wolfenbüttel, Landkreis,3044,3133,3944,5103,3469,2531,6304,5980,6408,6418,6571,7881,10971,10521,8736,13445,15163,119622
03159,Göttingen, Landkreis,8248,8406,10432,13732,8741,7041,23242,22525,20395,18280,17002,19454,25216,26286,22723,35086,39232,326041
03241,Region Hannover, Landkreis,33309,33418,41462,51803,31361,23217,69734,77860,77788,74354,69562,73189,92802,88511,73148,111262,134335,1157115
03251,Diepholz, Landkreis,5917,6008,7728,10129,6547,4566,11034,11097,12245,12211,12064,14478,19778,18798,15398,23399,25692,217089
03252,Hameln-Pyrmont, Landkreis,3897,3955,5027,6537,4232,2917,7336,7626,7752,7955,7745,9150,12636,12936,10999,17022,20827,148549
03254,Hildesheim, Landkreis,7122,7129,9004,11938,8001,5907,16698,16188,15290,15143,14985,17420,23595,23249,19343,29918,34887,275817
03255,Holzminden, Landkreis,1692,1744,2258,2911,2043,1462,3648,3624,3646,3644,3472,4236,5971,6074,5298,8574,10161,70458
03256,Nienburg (Weser), Landkreis,3236,3375,4354,5767,3751,2669,6594,6394,6658,6584,6551,7792,10525,10808,8976,13079,14277,121390
03257,Schaumburg, Landkreis,3952,4160,5150,6864,4587,3334,8017,7849,8240,8646,8425,10075,14291,13877,11398,17745,21210,157820
03351,Celle, Landkreis,5025,5229,6600,8534,5507,3802,8804,9489,10464,10311,9889,11200,14687,14724,12454,20170,22122,179011
03352,Cuxhaven, Landkreis,5117,5164,6846,9067,5894,3908,9281,9323,10383,10496,10384,12903,17200,16832,14625,24838,25777,198038
03353,Harburg, Landkreis,7195,7444,9618,12129,7541,5233,12499,11880,13621,15323,15241,17165,23614,21972,16896,26633,30427,254431
03354,Lüchow-Dannenberg, Landkreis,1117,1176,1520,2091,1472,968,1980,2059,2324,2436,2468,2900,4117,4258,3913,6427,7186,48412
03355,Lüneburg, Landkreis,5113,5320,6820,8756,5496,4163,11451,10778,11141,11272,11211,12392,15977,15006,11775,18113,19355,184139
03356,Osterholz, Landkreis,3127,3326,4078,5238,3366,2340,5331,5059,5835,6589,6397,7499,10576,10131,8144,13034,13858,113928
03357,Rotenburg (Wümme), Landkreis,4564,4453,5645,7819,5343,3911,9069,8995,9603,9232,9112,10947,14484,14107,11389,17368,17741,163782
03359,Stade, Landkreis,6030,6091,7768,9768,6325,4466,11170,11232,12328,12190,12135,13476,17186,16752,13424,21554,22617,204512
03360,Uelzen, Landkreis,2171,2228,2918,4003,2688,1850,4712,4575,4800,4619,4922,6058,8034,8173,6965,10771,12902,92389
03361,Verden, Landkreis,4061,4228,5233,6510,4088,2962,7061,7118,7678,7950,7542,8941,11804,11458,9523,15191,15785,137133
03401,Delmenhorst, kreisfreie Stadt,2555,2455,2804,3575,2367,1641,4356,4731,4892,4435,4407,4992,6175,6070,5007,8256,8841,77559
03402,Emden, kreisfreie Stadt,1395,1448,1787,2211,1430,1151,3452,3507,3149,2916,2731,3136,3991,3767,3098,5354,5390,49913
03403,Oldenburg (Oldenburg), kreisfreie Stadt,4609,4454,5505,7055,4379,3752,13155,14714,12935,10602,9588,10200,13179,12371,10247,15603,16729,169077
03404,Osnabrück, kreisfreie Stadt,4618,4198,5304,6660,4053,3755,16133,15765,12233,10302,9042,10060,11793,11073,9486,13995,16781,165251
03405,Wilhelmshaven, kreisfreie Stadt,2015,1923,2328,2964,1843,1515,5274,5547,4609,3689,3576,4055,5885,6039,5028,8914,10885,76089
03451,Ammerland, Landkreis,3484,3605,4545,5907,3979,2786,6166,6292,6928,7045,6988,8289,10854,10420,8416,14105,15050,124859
03452,Aurich, Landkreis,5044,4959,6622,8670,5909,4282,10365,10026,10339,10015,10173,12843,16457,15983,13914,23166,20927,189694
03453,Cloppenburg, Landkreis,5884,5728,7110,9451,6277,4411,11232,11302,11111,10683,9971,11269,13764,13337,10784,14171,14197,170682
03454,Emsland, Landkreis,9955,9781,12257,16373,10757,7585,19170,20182,20998,19940,19506,22214,27300,25858,22134,31951,30993,326954
03455,Friesland, Landkreis,2474,2653,3333,4224,2898,2065,4755,4814,5147,4948,4977,6116,8774,8620,6926,12371,13609,98704
03456,Grafschaft Bentheim, Landkreis,4099,4020,5266,6915,4432,3080,7627,7861,8078,7978,7750,9129,11877,11296,9239,14129,14386,137162
03457,Leer, Landkreis,4957,4805,6159,8127,5382,3853,9593,9810,10336,9869,9370,11521,14527,14031,11633,18726,18057,170756
03458,Oldenburg, Landkreis,3665,3641,4732,6289,4124,3070,6822,6511,7099,7213,7494,9028,12267,11599,9124,13619,14593,130890
03459,Osnabrück, Landkreis,10810,10642,13486,17507,11486,8118,19551,19438,21120,20548,20521,23691,30306,30511,25159,35599,39587,358080
03460,Vechta, Landkreis,4830,4722,5929,7662,5051,3652,9806,9564,9686,8937,8625,9362,11499,11223,8793,11801,11672,142814
03461,Wesermarsch, Landkreis,2306,2269,2885,4000,2703,1920,4797,4751,4751,4492,4665,5721,7877,7933,6494,10159,10860,88583
03462,Wittmund, Landkreis,1363,1480,1940,2636,1716,1304,2906,2905,2955,2926,2926,3786,4767,4837,4343,7258,6878,56926
04011,Bremen, kreisfreie Stadt,17247,16134,19007,24224,14540,11728,37871,41744,41560,37233,33384,34744,43458,41130,34580,55049,63926,567559
04012,Bremerhaven, kreisfreie Stadt,3490,3505,4248,5388,3187,2452,7139,7343,7288,6766,6421,6851,8285,8641,7661,12175,12803,113643
05111,Düsseldorf, kreisfreie Stadt,19050,18259,21949,26240,14711,10311,33804,48850,53123,46490,40409,41175,48414,44065,35265,54592,65170,621877
05112,Duisburg, kreisfreie Stadt,15492,15015,18210,22911,14253,10347,30403,34671,33453,30700,29493,32034,38956,38293,32521,47255,54679,498686
05113,Essen, kreisfreie Stadt,17511,16972,20083,25308,15090,10881,33926,41842,41363,37495,33537,35751,44628,43516,38223,58610,68024,582760
05114,Krefeld, kreisfreie Stadt,6542,6406,8006,10342,6417,4726,12668,14575,13992,13429,12922,14496,19146,18313,15489,23083,26865,227417
05116,Mönchengladbach, kreisfreie Stadt,7673,7522,9172,11718,7472,5411,14961,17255,17543,15822,14813,16187,21085,21320,18133,26642,28305,261034
05117,Mülheim an der Ruhr, kreisfreie Stadt,4917,4807,6135,7360,4563,3126,8677,10106,10282,9946,9410,10636,14233,13856,11806,18403,22369,170632
05119,Oberhausen, kreisfreie Stadt,6027,5932,7365,9054,5642,3953,11337,13269,13433,13145,12394,13111,17106,17230,15236,22671,23859,210764
05120,Remscheid, kreisfreie Stadt,3218,3256,4001,5162,3242,2223,5949,6508,6565,6482,6455,7188,9463,9294,7626,11228,13478,111338
05122,Solingen, kreisfreie Stadt,4594,4631,5701,7484,4681,3273,8677,9459,9810,9648,9095,10047,13732,13405,10884,15090,19034,159245
05124,Wuppertal, kreisfreie Stadt,10731,10645,13165,16568,10172,7486,21854,24240,23782,22145,19972,21792,28181,27708,22797,33879,39983,355100
05154,Kleve, Landkreis,8623,8589,11038,14347,9278,6541,18059,19077,19180,18388,17472,20100,27427,26804,22229,32992,32321,312465
05158,Mettmann, Landkreis,13501,14058,17413,22401,13847,9399,23281,24091,26822,28361,27144,31030,42262,41665,33932,51631,64732,485570
05166,Viersen, Landkreis,7867,8055,10147,13403,8815,6068,14986,15813,16432,17191,16496,19234,27841,27438,22025,32073,34979,298863
05170,Wesel, Landkreis,12146,12371,15490,19950,12915,8827,21796,24699,26698,26067,25025,28765,39909,40975,35560,52906,55877,459976
05314,Bonn, kreisfreie Stadt,9799,9897,12608,15605,9187,7498,25577,26890,24755,22548,19760,20077,24340,22886,18652,27167,32427,329673
05315,Köln, kreisfreie Stadt,33253,31528,37827,46132,26596,20119,72124,93609,92436,81665,73096,72709,83892,74563,58893,89354,100067,1087863
05316,Leverkusen, kreisfreie Stadt,4866,4788,6126,7629,4878,3215,8597,9796,10066,10037,9764,10629,13903,13358,10610,15386,20081,163729
05334,Städteregion Aachen, Landkreis,15102,14693,18132,23332,14982,13601,47034,45019,36573,32254,29148,32538,42796,42022,35955,54327,59518,557026
05358,Düren, Landkreis,7688,7531,9434,12201,7665,5596,14960,15727,16023,15444,14677,16676,22303,22364,19435,28550,28364,264638
05366,Euskirchen, Landkreis,5472,5412,6829,8916,5804,4050,9933,10296,11068,11137,10883,12228,17012,17578,14562,21343,21133,193656
05370,Heinsberg, Landkreis,7221,7203,9116,11810,7762,5553,13389,14189,15153,15091,14642,16496,22086,22799,18973,26952,27120,255555
05512,Bottrop, kreisfreie Stadt,3176,3176,3864,5017,3279,2351,6144,6672,7195,6973,6752,7521,9953,9897,9009,13097,13489,117565
05513,Gelsenkirchen, kreisfreie Stadt,8352,7991,9802,12567,7737,5557,15108,16790,16598,15515,15160,16776,20081,19974,17774,26221,27642,259645
05515,Münster, kreisfreie Stadt,8825,8372,10210,12374,7420,7417,31560,30911,25497,21124,17689,17932,22207,21434,17779,25024,29518,315293
05554,Borken, Landkreis,11564,11175,14361,18759,12348,8386,21365,22761,22429,21908,21175,24163,32730,31709,25009,35110,36387,371339
05558,Coesfeld, Landkreis,6473,6582,7924,10438,6937,4975,11792,11514,12239,12715,12426,14230,19734,19474,16559,23208,23366,220586
05562,Recklinghausen, Landkreis,17082,16982,21127,26970,17503,12428,31601,33326,34849,35076,34905,39793,51919,51950,46873,69341,72412,614137
05566,Steinfurt, Landkreis,13667,13377,17008,22204,14548,10582,25875,25345,25956,26217,25403,29500,39611,38201,30670,43287,46769,448220
05570,Warendorf, Landkreis,7892,8131,10315,13637,9196,6419,14968,14656,15773,16059,15971,18344,23999,23384,19673,28448,30975,277840
05711,Bielefeld, kreisfreie Stadt,10184,9691,12339,15664,9692,7494,23328,24714,23673,21269,19388,20999,24826,24064,20159,29785,36926,334195
05754,Gütersloh, Landkreis,11009,10940,13816,17966,11775,8382,20823,21334,22338,22231,21611,24638,31440,30166,24315,33596,38558,364938
05758,Herford, Landkreis,7025,7146,9096,11899,7607,5333,13236,13507,14392,14650,14401,16237,21142,21280,17779,25402,30446,250578
05762,Höxter, Landkreis,3652,3744,4866,6764,4488,3074,7398,7357,7672,7560,7544,8738,12089,12333,10721,15340,16911,140251
05766,Lippe, Landkreis,10257,10330,13440,17401,10898,7658,19008,19089,19838,19355,18575,21115,28365,28628,24828,36078,42651,347514
05770,Minden-Lübbecke, Landkreis,8871,9151,11534,15217,9654,6815,16946,17343,17874,17391,16747,19711,25636,26322,22475,31588,37134,310409
05774,Paderborn, Landkreis,9235,9358,11580,14707,9349,7327,21467,22086,21299,19398,17948,19122,23772,23821,20819,27911,28640,307839
05911,Bochum, kreisfreie Stadt,9790,9407,11453,14263,8934,7317,24714,27831,26071,23157,19842,21502,27928,27480,24865,38081,42952,365587
05913,Dortmund, kreisfreie Stadt,17530,17025,20462,25600,15969,11850,38184,43520,41131,37981,34578,37053,45667,43534,37200,57086,63880,588250
05914,Hagen, kreisfreie Stadt,5831,5592,6962,8854,5727,4049,10594,11517,11466,10953,10503,11608,15131,15136,12735,19207,22821,188686
05915,Hamm, kreisfreie Stadt,5174,5233,6714,8783,5552,4167,11192,11119,11067,10946,11055,11718,13916,13593,11941,18176,19570,179916
05916,Herne, kreisfreie Stadt,4476,4314,5423,6805,4444,3512,9189,9950,9591,9270,9070,10579,12459,12487,10616,16317,17947,156449
05966,Olpe, Landkreis,3763,3809,4800,6305,4173,2983,7262,7798,7872,7953,7724,8774,11952,11669,9631,13253,14234,133955
05970,Siegen-Wittgenstein, Landkreis,8063,7696,9696,12096,7777,5741,17827,18143,17301,16225,15148,16698,22180,22582,19447,29003,31321,276944
05974,Soest, Landkreis,8439,8493,10778,14337,9406,6492,16209,16885,17548,17760,17217,19713,25915,25744,21725,31042,34082,301785
05978,Unna, Landkreis,10897,10822,13542,17817,11395,8033,20650,21187,22364,22566,22843,25301,33465,33739,29518,43623,47129,394891
06411,Darmstadt, kreisfreie Stadt,4864,4465,5625,6785,3859,3439,15026,16382,13360,10530,9082,9170,10833,10283,8559,12997,14619,159878
06412,Frankfurt am Main, kreisfreie Stadt,25874,23582,28312,33104,18516,12987,45191,65758,72205,64694,56304,53163,57265,49219,38183,58926,60097,763380
06413,Offenbach am Main, kreisfreie Stadt,4696,4264,5216,6358,3758,2494,8198,10392,10940,9775,8863,8540,9561,8854,7066,10497,10808,130280
06414,Wiesbaden, kreisfreie Stadt,9114,8839,10459,13391,7901,5592,17050,18093,18533,18554,17828,18441,21950,20320,16508,25668,30233,278474
06431,Bergstraße, Landkreis,7645,7485,9505,11736,7621,5281,13727,14481,15845,16087,15555,17435,23597,23889,19683,29729,31039,270340
